Target_Code,Date,Close,DeltaX,PTR_Calc,Open,High,Low,Turnover,PTR,Main_Pct,Dare_Pct,Flow_5d,ASR,CYS34,LFS,D_Pos,X90,X70,Y_Overlap,Z_Profit,HCCYF13
001309,20250523,79.16,5.72,,80.28,81.31,79.14,2.81,4.28,0.094,-0.01,0.29,27.717,-10.61,58.856,53.36,11.27,5.55,49.24,4.32,43.17
001309,20250526,79.71,5.21,0.05,79.43,80.34,77.44,2.89,4.4,0.079,-0.031,1.0,32.055,-9.548,58.735,53.37,10.71,5.5,51.33,7.17,42.49
001309,20250527,77.02,4.73,-0.08,79.71,79.88,76.79,3.02,4.6,-0.255,-0.029,-4.31,25.6,-12.114,58.302,53.3,10.76,6.03,55.99,3.03,42.02
001309,20250528,76.01,4.9,-0.0,77.02,77.44,75.52,2.9,4.41,-0.02,-0.024,-5.27,23.386,-12.714,58.115,53.22,11.16,6.26,56.1,3.01,41.49
001309,20250529,78.08,3.83,0.14,76.15,78.79,76.15,3.79,5.77,0.133,0.009,-0.66,34.143,-9.678,56.251,53.38,10.93,7.1,64.98,10.54,41.86
001309,20250530,75.53,3.88,-0.15,77.58,77.58,75.09,2.25,3.42,-0.007,-0.024,-2.34,26.193,-12.237,57.651,53.4,11.22,7.34,65.39,2.51,40.74
001309,20250603,75.38,3.26,0.01,75.09,76.6,74.51,1.92,2.93,0.058,-0.012,-2.67,27.17,-12.038,59.296,53.4,11.22,7.96,70.98,3.11,39.43
001309,20250604,79.5,3.0,0.34,75.49,81.85,75.49,5.93,9.02,0.698,0.093,10.77,44.268,-6.315,52.865,53.85,11.28,8.28,73.46,21.34,42.14
001309,20250605,87.45,2.92,0.52,80.07,87.45,80.07,8.76,13.34,1.064,0.042,13.77,78.602,3.248,44.757,54.75,10.76,7.84,72.88,49.99,47.05
001309,20250606,84.88,3.17,-0.17,87.54,88.45,83.56,6.7,10.2,0.165,-0.04,12.17,83.855,0.019,42.865,54.78,10.58,7.41,70.02,40.62,49.2
001309,20250609,86.01,3.4,0.1,85.4,88.11,84.11,5.14,7.83,0.21,0.03,12.33,84.165,1.268,43.683,54.97,10.58,7.18,67.85,45.93,49.69
001309,20250610,84.35,3.72,-0.16,85.4,85.98,83.04,3.73,5.68,0.012,-0.037,11.18,84.807,-0.688,46.116,54.94,10.64,6.92,65.02,36.96,48.94
001309,20250611,85.68,3.92,0.14,84.18,88.97,84.09,6.05,9.21,0.542,0.032,10.03,86.343,0.88,44.969,55.49,10.39,6.47,62.28,44.9,50.22
001309,20250612,87.28,3.9,0.19,86.2,88.5,85.73,4.43,6.74,0.269,0.027,7.94,84.677,2.609,46.301,55.8,10.12,6.22,61.44,55.35,49.98
001309,20250613,85.25,4.16,-0.27,85.41,86.47,84.41,2.49,3.79,0.047,-0.084,8.21,87.725,0.211,49.882,55.82,10.12,5.96,58.94,40.05,48.18
001309,20250616,86.08,4.18,0.12,84.63,88.25,84.63,3.69,5.61,0.115,0.029,7.74,87.567,1.161,50.892,55.92,10.17,5.99,58.93,46.98,47.59
001309,20250617,90.64,4.66,0.59,86.99,90.67,84.41,7.51,11.44,0.793,0.056,11.39,80.447,5.968,46.341,56.76,9.9,5.24,52.91,80.4,50.34
001309,20250618,94.69,4.64,0.25,89.88,96.8,89.51,10.07,15.33,0.878,0.133,11.25,66.483,9.35,40.78,57.41,10.27,5.63,54.81,94.71,54.68
001309,20250619,92.89,4.69,-0.17,94.62,95.47,92.18,5.35,8.15,0.054,-0.128,9.15,79.203,6.531,42.529,57.37,10.38,5.69,54.78,85.06,54.51
001309,20250620,88.43,4.43,-0.55,92.89,93.95,88.26,5.21,7.94,-0.123,-0.082,7.69,88.878,1.095,44.0,57.29,9.89,5.46,55.17,53.6,54.26
001309,20250623,87.97,4.54,-0.06,86.83,90.1,86.49,4.57,6.96,0.287,-0.016,8.28,89.97,0.572,45.841,57.46,9.71,5.17,53.3,50.36,53.56
001309,20250624,88.28,4.49,0.05,88.67,89.59,86.34,5.02,7.65,0.129,-0.079,5.66,90.21,0.84,46.668,57.44,9.52,5.03,52.85,53.44,53.31
001309,20250625,90.6,4.46,0.36,88.5,90.6,87.05,5.82,8.86,0.367,0.059,3.46,87.277,3.277,46.337,57.73,9.33,4.87,52.2,73.96,53.71
001309,20250626,88.17,4.44,-0.42,90.96,91.08,87.74,5.23,7.97,-0.41,-0.057,0.56,91.402,0.332,46.829,57.55,9.15,4.71,51.5,49.6,53.59
001309,20250627,87.9,4.42,-0.06,88.18,89.48,87.04,4.37,6.66,0.074,0.039,3.24,91.889,0.012,48.234,57.46,8.96,4.54,50.6,46.18,52.83
001309,20250630,84.23,4.19,-0.5,87.68,88.61,83.49,8.26,12.58,-0.403,-0.207,-3.01,87.3,-3.9,44.633,56.9,8.6,4.41,51.24,17.72,55.22
001309,20250701,84.47,4.2,0.05,83.99,85.76,83.04,4.39,7.81,0.163,0.004,-2.06,88.752,-3.363,46.662,56.99,8.44,4.24,50.25,20.75,54.8
001309,20250702,86.83,3.96,0.36,84.69,88.51,83.98,6.48,11.52,0.937,0.071,2.26,93.139,-0.482,45.732,57.77,8.05,4.09,50.85,41.53,56.28
001309,20250703,84.2,3.97,-0.42,86.83,87.19,83.68,6.03,10.74,-0.802,-0.113,-0.75,89.465,-3.324,45.637,57.09,7.9,3.93,49.77,17.63,57.11
001309,20250704,86.39,3.63,0.44,84.2,87.54,81.39,7.69,13.69,0.445,0.048,1.35,93.676,-0.571,43.815,57.26,7.56,3.93,51.98,42.85,59.19
001309,20250707,86.66,3.64,0.04,85.41,89.63,84.84,6.07,10.79,0.51,0.082,6.73,94.289,-0.171,44.382,57.66,7.41,3.77,50.86,45.27,59.53
001309,20250708,86.37,3.49,-0.05,86.68,87.29,85.12,4.71,8.38,-0.542,-0.032,3.04,94.618,-0.484,46.282,57.34,7.09,3.6,50.77,42.21,58.73
001309,20250709,86.69,3.52,0.07,86.33,88.65,85.41,4.47,7.96,0.291,0.017,-0.14,95.117,-0.093,47.95,57.58,6.94,3.42,49.36,46.01,57.85
001309,20250710,83.01,3.38,-0.63,86.7,86.7,82.42,5.35,9.52,-0.303,-0.103,2.51,89.112,-4.163,48.115,57.12,6.84,3.46,50.62,9.79,57.84
001309,20250711,81.01,3.31,-0.05,82.43,82.43,80.44,5.14,9.15,-0.151,-0.085,-1.61,78.337,-6.056,48.465,56.82,7.18,3.87,54.0,6.81,57.66
001309,20250714,83.21,3.01,0.2,80.61,84.5,79.93,4.68,8.32,0.702,0.084,-0.76,90.685,-3.163,49.262,57.21,7.2,4.19,58.18,18.08,57.11
001309,20250715,82.87,2.86,0.0,83.2,83.47,81.11,3.28,5.84,-0.008,-0.018,3.35,90.086,-3.394,51.58,57.18,7.05,4.19,59.4,18.28,55.48
001309,20250716,83.47,3.05,0.06,83.35,86.21,83.14,4.22,7.52,0.063,0.015,1.56,91.937,-2.519,52.02,57.42,7.09,4.04,57.02,21.54,54.88
001309,20250717,83.58,2.85,0.04,83.31,84.91,81.94,3.6,6.41,-0.046,0.008,4.59,92.471,-2.251,53.135,57.35,6.94,4.09,58.9,23.69,53.82
001309,20250718,82.13,3.02,-0.19,82.94,84.4,81.93,2.91,5.18,-0.245,-0.067,4.31,88.432,-3.791,54.908,57.34,6.96,3.94,56.63,13.0,52.29
001309,20250721,81.61,2.86,-0.05,82.14,82.51,81.52,2.36,4.19,-0.274,-0.056,-6.02,86.346,-4.252,57.061,57.17,6.81,3.95,58.03,9.87,50.44
001309,20250722,79.04,3.09,-0.11,81.51,81.51,78.7,5.27,9.38,-0.759,-0.139,-12.04,66.088,-6.808,54.023,56.57,7.32,4.23,57.86,3.47,51.57
001309,20250723,83.81,2.81,0.58,79.03,85.41,79.02,8.43,16.71,1.643,0.112,2.67,94.427,-0.667,47.597,57.69,7.06,4.25,60.17,36.75,56.36
001309,20250724,84.1,2.73,0.07,83.82,85.78,81.67,5.38,10.67,0.061,-0.031,2.9,95.332,-0.283,47.357,57.85,6.83,4.1,60.01,41.02,57.14
001309,20250725,87.2,2.76,0.58,83.41,87.7,83.32,6.26,12.41,0.913,0.06,9.34,97.801,3.286,46.162,58.46,6.74,3.98,59.06,74.65,58.61
001309,20250728,86.29,2.63,-0.18,87.4,88.7,85.41,5.21,10.33,-0.275,-0.083,7.8,97.694,1.963,46.64,58.27,6.46,3.83,59.34,63.95,58.84
